depth,adjacent_cosine_mean,adjacent_cosine_std,normalized_step_mean,cosine_to_final_mean,update_direction_cosine_mean
32,0.9999784231185913,6.821454735472798e-05,0.005175501108169556,0.999828040599823,0.7128563523292542
33,0.9999808669090271,6.847451004432514e-05,0.004662687890231609,0.9998700618743896,0.7191599011421204
34,0.9999827742576599,6.929042137926444e-05,0.004172389395534992,0.9998796582221985,0.7142117023468018
35,0.9999838471412659,7.36018264433369e-05,0.003720897249877453,0.9999122023582458,0.7094438076019287
36,0.9999853372573853,7.346580969169736e-05,0.003322064643725753,0.9999136924743652,0.7128692865371704
37,0.999985933303833,7.57852103561163e-05,0.0029985886067152023,0.999939501285553,0.7161195278167725
38,0.9999863505363464,7.828806701581925e-05,0.002721731550991535,0.9999350905418396,0.7207704186439514
39,0.9999866485595703,7.966320845298469e-05,0.0024875628296285868,0.9999569654464722,0.7275869250297546
40,0.999987006187439,8.07326941867359e-05,0.002280810847878456,0.9999492764472961,0.7326500415802002
41,0.999987006187439,8.313678699778393e-05,0.0021067734342068434,0.9999690055847168,0.737439751625061
42,0.9999868273735046,8.589193021180108e-05,0.001955147134140134,0.9999588131904602,0.7400116920471191
43,0.9999868869781494,8.69944560690783e-05,0.0018163775093853474,0.9999770522117615,0.7417694926261902
44,0.9999868273735046,8.814608736429363e-05,0.0016975984908640385,0.9999651908874512,0.7417849898338318
45,0.9999864101409912,9.188373223878443e-05,0.0016076432075351477,0.9999826550483704,0.7424401044845581
46,0.9999864101409912,9.278803190682083e-05,0.0015215026214718819,0.9999698400497437,0.7446117997169495
47,0.9999862909317017,9.40416066441685e-05,0.001446364913135767,0.9999869465827942,0.7444946765899658
48,0.999985933303833,9.694529580883682e-05,0.0013900904450565577,0.9999731183052063,0.7441496253013611
49,0.9999857544898987,9.83520076260902e-05,0.0013362449826672673,0.9999902248382568,0.7431749105453491
50,0.9999855160713196,9.968401718651876e-05,0.0012930051889270544,0.9999759793281555,0.7503482103347778
51,0.9999853372573853,0.00010182231926592067,0.0012619600165635347,0.9999929666519165,0.7547988295555115
52,0.9999850392341614,0.00010360260057495907,0.0012331258039921522,0.9999781847000122,0.7578786611557007
53,0.9999849200248718,0.00010495587048353627,0.0012090553063899279,0.9999952912330627,0.7599408030509949
54,0.9999846816062927,0.00010640789696481079,0.00118997972458601,0.9999798536300659,0.7593572735786438
55,0.9999844431877136,0.00010820377065101638,0.0011741662165150046,0.9999967813491821,0.7621901035308838
56,0.9999842047691345,0.00010951284639304504,0.0011558521073311567,0.9999811053276062,0.7655126452445984
57,0.9999839663505554,0.00011095509398728609,0.001136939856223762,0.999998152256012,0.768982470035553
58,0.9999838471412659,0.00011250031820964068,0.001120315515436232,0.9999819993972778,0.77073073387146
59,0.9999836087226868,0.00011416376946726814,0.001106476760469377,0.9999991655349731,0.773029088973999
60,0.9999834299087524,0.00011534235090948641,0.001094378181733191,0.9999826550483704,0.7730773091316223
61,0.9999831914901733,0.0001167452719528228,0.0010843768250197172,0.9999998211860657,0.774570643901825
62,0.999983012676239,0.00011820501822512597,0.0010745723266154528,0.9999828338623047,0.7756283283233643
63,0.9999828338623047,0.00011931398330489174,0.0010646865703165531,1.0,
